frame.time_epoch,ip.src,ip.dst,dns.qry.name,http.host,tls.handshake.extensions_server_name
1762227646.165791000,10.157.172.144,10.157.172.129,vpteduin8928.sharepoint.com,,
1762227646.166483000,10.157.172.144,10.157.172.129,vpteduin8928.sharepoint.com,,
1762227646.236379000,,,vpteduin8928.sharepoint.com,,
1762227646.236597000,,,vpteduin8928.sharepoint.com,,
1762227646.247149000,10.157.172.129,10.157.172.144,vpteduin8928.sharepoint.com,,
1762227646.247149000,10.157.172.129,10.157.172.144,vpteduin8928.sharepoint.com,,
1762227646.261160000,,,vpteduin8928.sharepoint.com,,
1762227646.261160000,,,vpteduin8928.sharepoint.com,,
1762227646.291776000,,,,,vpteduin8928.sharepoint.com
1762227647.122891000,10.157.172.144,10.157.172.129,graph.instagram.com,,
1762227647.123712000,10.157.172.144,157.240.16.63,,,graph.instagram.com
1762227647.148613000,10.157.172.129,10.157.172.144,graph.instagram.com,,
1762227651.659696000,10.157.172.144,123.63.54.18,,,in-vcode-od.vivoglobal.com
1762227652.858593000,,,,,clientservices.googleapis.com
1762227652.893033000,,,,,clientservices.googleapis.com
1762227653.242085000,,,,,update.googleapis.com
1762227653.626793000,,,LAPTOP-9CM5EAOO,,
1762227653.630014000,10.157.172.144,224.0.0.252,LAPTOP-9CM5EAOO,,
1762227654.003688000,,,,,assets.msn.com
1762227654.042806000,,,LAPTOP-9CM5EAOO,,
1762227654.042924000,10.157.172.144,224.0.0.252,LAPTOP-9CM5EAOO,,
1762227654.399047000,10.157.172.144,10.157.172.129,substrate.office.com,,
1762227654.399755000,10.157.172.144,10.157.172.129,substrate.office.com,,
1762227654.436807000,10.157.172.129,10.157.172.144,substrate.office.com,,
1762227654.450422000,10.157.172.129,10.157.172.144,substrate.office.com,,
1762227654.498641000,,,,,substrate.office.com
1762227654.900954000,10.157.172.144,10.157.172.129,server.events.data.microsoft.com,,
1762227654.901128000,10.157.172.144,10.157.172.129,server.events.data.microsoft.com,,
1762227654.918541000,10.157.172.129,10.157.172.144,server.events.data.microsoft.com,,
1762227654.936647000,10.157.172.129,10.157.172.144,server.events.data.microsoft.com,,
1762227655.180701000,,,,,server.events.data.microsoft.com
1762227657.955201000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227657.955349000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227657.955484000,10.157.172.144,10.157.172.129,optimizationguide-pa.googleapis.com,,
1762227658.016999000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227658.016999000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227658.078937000,,,,,optimizationguide-pa.googleapis.com
1762227658.080577000,10.157.172.129,10.157.172.144,optimizationguide-pa.googleapis.com,,
1762227659.159300000,10.157.172.144,10.157.172.129,fe3cr.delivery.mp.microsoft.com,,
1762227659.159491000,10.157.172.144,10.157.172.129,fe3cr.delivery.mp.microsoft.com,,
1762227659.202188000,10.157.172.129,10.157.172.144,fe3cr.delivery.mp.microsoft.com,,
1762227659.207197000,10.157.172.129,10.157.172.144,fe3cr.delivery.mp.microsoft.com,,
1762227659.938040000,10.157.172.144,20.242.39.171,,,fe3cr.delivery.mp.microsoft.com
1762227660.573579000,10.157.172.144,10.157.172.129,graph.facebook.com,,
1762227660.626532000,,,graph.facebook.com,,
